Algorithms,meanWinnerRank,rateTrueWinners,rateWinner<NULL,val_Mean²Err
bestVoter (Dictatorship),3.42,0.36,0.12,11263.5625
FirstPastThePost (but without tactical voting),3.82,0.35,0.0,
crowd-Mean,5.14,0.3,0.0,20288.9453125
crowd-Median,5.14,0.3,0.0,20194.53125
"MyVoteSys <α=0.50, β=____, γ=0.66, First>",5.35,0.27,0.0,
"MyVoteSys <α=0.50, β=____, γ=0.66, MaxVariance>",5.35,0.27,0.0,
"MyVoteSys <α=0.50, β=____, γ=0.66, MinEntropy>",5.35,0.27,0.0,
"MyVoteSys <α=0.50, β=____, γ=0.80, MinEntropy>",5.35,0.27,0.0,
"MyVoteSys <α=0.50, β=____, γ=0.80, MaxVariance>",5.35,0.27,0.0,
"MyVoteSys <α=0.50, β=____, γ=0.80, First>",5.35,0.27,0.0,
"MyVoteSys <α=0.50, β=____, γ=____, First>",5.35,0.27,0.0,
"MyVoteSys <α=0.50, β=____, γ=____, MinEntropy>",5.35,0.27,0.0,
InstantRunoffVoting,5.41,0.26,0.0,
PreferentialBlockVoting,5.41,0.26,0.0,
SingleTransferableVote,5.41,0.26,0.0,
"MyVoteSys <α=0.66, β=____, γ=____, First>",6.32,0.17,0.0,
"MyVoteSys <α=0.66, β=____, γ=____, MinEntropy>",6.32,0.17,0.0,
"MyVoteSys <α=0.66, β=____, γ=0.80, MinEntropy>",6.32,0.17,0.0,
"MyVoteSys <α=0.66, β=____, γ=0.80, First>",6.32,0.17,0.0,
"MyVoteSys <α=0.66, β=____, γ=0.80, MaxVariance>",6.32,0.17,0.0,
"MyVoteSys <α=0.50, β=____, γ=0.66, MinVariance>",6.32,0.17,0.0,
"MyVoteSys <α=0.50, β=____, γ=0.66, MaxEntropy>",6.32,0.17,0.0,
"MyVoteSys <α=0.50, β=____, γ=0.66, Last>",6.32,0.17,0.0,
"MyVoteSys <α=0.80, β=____, γ=____, First>",6.84,0.09,0.0,
"MyVoteSys <α=0.66, β=____, γ=0.80, MaxEntropy>",6.84,0.09,0.0,
"MyVoteSys <α=0.50, β=____, γ=0.80, MaxEntropy>",6.84,0.09,0.0,
"MyVoteSys <α=0.66, β=____, γ=0.80, MinVariance>",6.84,0.09,0.0,
"MyVoteSys <α=0.80, β=____, γ=____, MinEntropy>",6.84,0.09,0.0,
"MyVoteSys <α=0.50, β=____, γ=0.80, Last>",6.84,0.09,0.0,
"MyVoteSys <α=0.50, β=____, γ=0.80, MinVariance>",6.84,0.09,0.0,
"MyVoteSys <α=0.66, β=____, γ=0.80, Last>",6.84,0.09,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=0.80, Last>",7.11,0.06,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=0.80, MaxVariance>",7.11,0.06,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=0.66, MinEntropy>",7.11,0.06,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=____, MaxEntropy>",7.11,0.06,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=____, MinEntropy>",7.11,0.06,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=0.80, MaxEntropy>",7.11,0.06,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=____, MinVariance>",7.11,0.06,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=____, Last>",7.11,0.06,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=0.66, MaxEntropy>",7.11,0.06,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=____, First>",7.11,0.06,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=0.80, MinEntropy>",7.11,0.06,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=0.66, Last>",7.11,0.06,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=0.80, MinVariance>",7.11,0.06,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=0.66, MaxVariance>",7.11,0.06,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=0.66, MinVariance>",7.11,0.06,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=____, MaxVariance>",7.11,0.06,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=0.80, First>",7.11,0.06,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=0.66, First>",7.11,0.06,0.0,
"MyVoteSys <α=0.80, β=____, γ=____, MinVariance>",7.35,0.03,0.0,
"MyVoteSys <α=0.66, β=____, γ=____, MinVariance>",7.35,0.03,0.0,
"MyVoteSys <α=0.50, β=____, γ=____, MinVariance>",7.35,0.03,0.0,
"MyVoteSys <α=0.50, β=____, γ=____, MaxEntropy>",7.5,0.01,0.0,
"MyVoteSys <α=0.50, β=____, γ=____, Last>",7.5,0.01,0.0,
"MyVoteSys <α=0.66, β=____, γ=____, MaxEntropy>",7.5,0.01,0.0,
"MyVoteSys <α=0.80, β=____, γ=____, Last>",7.5,0.01,0.0,
"MyVoteSys <α=0.66, β=____, γ=____, MaxVariance>",7.5,0.01,0.0,
"MyVoteSys <α=0.80, β=____, γ=____, MaxEntropy>",7.5,0.01,0.0,
"MyVoteSys <α=0.50, β=____, γ=____, MaxVariance>",7.5,0.01,0.0,
"MyVoteSys <α=0.80, β=____, γ=____, MaxVariance>",7.5,0.01,0.0,
