Algorithms,meanWinnerRank,rateTrueWinners,rateWinner<NULL,val_Mean²Err
crowd-Median,1.0986666666666667,0.9146666666666666,0.0,19565.126953125
crowd-Mean,1.0986666666666667,0.9146666666666666,0.0,19936.396484375
SingleTransferableVote,1.112,0.908,0.0,
PreferentialBlockVoting,1.112,0.908,0.0,
InstantRunoffVoting,1.112,0.908,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=0.66, MaxVariance>",1.1186666666666667,0.9026666666666666,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=____, MinEntropy>",1.1186666666666667,0.9026666666666666,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=0.66, First>",1.1186666666666667,0.9026666666666666,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=____, First>",1.1186666666666667,0.9026666666666666,0.0,
"MyVoteSys <α=0.50, β=____, γ=____, MinEntropy>",1.1186666666666667,0.9026666666666666,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=0.80, First>",1.1186666666666667,0.9026666666666666,0.0,
"MyVoteSys <α=0.50, β=____, γ=____, First>",1.1186666666666667,0.9026666666666666,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=0.80, MaxVariance>",1.1186666666666667,0.9026666666666666,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=0.66, MinEntropy>",1.1186666666666667,0.9026666666666666,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=____, MaxVariance>",1.1186666666666667,0.9026666666666666,0.0,
"MyVoteSys <α=0.50, β=____, γ=0.66, MinEntropy>",1.1186666666666667,0.9026666666666666,0.0,
"MyVoteSys <α=0.50, β=____, γ=0.80, First>",1.1186666666666667,0.9026666666666666,0.0,
"MyVoteSys <α=0.50, β=____, γ=0.80, MaxVariance>",1.1186666666666667,0.9026666666666666,0.0,
"MyVoteSys <α=0.50, β=____, γ=0.80, MinEntropy>",1.1186666666666667,0.9026666666666666,0.0,
"MyVoteSys <α=0.50, β=____, γ=0.66, MaxVariance>",1.1186666666666667,0.9026666666666666,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=0.80, MinEntropy>",1.1186666666666667,0.9026666666666666,0.0,
"MyVoteSys <α=0.50, β=____, γ=0.66, First>",1.1186666666666667,0.9026666666666666,0.0,
FirstPastThePost (but without tactical voting),1.1266666666666667,0.9026666666666666,0.0,
"MyVoteSys <α=0.66, β=____, γ=0.80, First>",1.1493333333333333,0.88,0.0,
"MyVoteSys <α=0.66, β=____, γ=____, First>",1.1493333333333333,0.88,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=0.66, MinVariance>",1.1493333333333333,0.88,0.0,
"MyVoteSys <α=0.66, β=0.33, γ=0.80, MinEntropy>",1.1493333333333333,0.88,0.0,
"MyVoteSys <α=0.66, β=0.33, γ=____, First>",1.1493333333333333,0.88,0.0,
"MyVoteSys <α=0.66, β=0.33, γ=0.80, MaxVariance>",1.1493333333333333,0.88,0.0,
"MyVoteSys <α=0.66, β=0.33, γ=____, MaxVariance>",1.1493333333333333,0.88,0.0,
"MyVoteSys <α=0.50, β=____, γ=0.66, MinVariance>",1.1493333333333333,0.88,0.0,
"MyVoteSys <α=0.66, β=____, γ=0.80, MaxVariance>",1.1493333333333333,0.88,0.0,
"MyVoteSys <α=0.50, β=____, γ=0.66, Last>",1.1493333333333333,0.88,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=0.66, Last>",1.1493333333333333,0.88,0.0,
"MyVoteSys <α=0.66, β=____, γ=____, MinEntropy>",1.1493333333333333,0.88,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=0.66, MaxEntropy>",1.1493333333333333,0.88,0.0,
"MyVoteSys <α=0.66, β=0.33, γ=____, MinEntropy>",1.1493333333333333,0.88,0.0,
"MyVoteSys <α=0.66, β=____, γ=0.80, MinEntropy>",1.1493333333333333,0.88,0.0,
"MyVoteSys <α=0.66, β=0.33, γ=0.80, First>",1.1493333333333333,0.88,0.0,
"MyVoteSys <α=0.50, β=____, γ=0.66, MaxEntropy>",1.1493333333333333,0.88,0.0,
"MyVoteSys <α=0.66, β=0.33, γ=0.80, MinVariance>",1.164,0.864,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=0.80, MaxEntropy>",1.164,0.864,0.0,
"MyVoteSys <α=0.80, β=0.33, γ=____, MinEntropy>",1.164,0.864,0.0,
"MyVoteSys <α=0.50, β=____, γ=0.80, MinVariance>",1.164,0.864,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=0.80, Last>",1.164,0.864,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=0.80, MinVariance>",1.164,0.864,0.0,
"MyVoteSys <α=0.66, β=____, γ=0.80, MaxEntropy>",1.164,0.864,0.0,
"MyVoteSys <α=0.80, β=____, γ=____, MinEntropy>",1.164,0.864,0.0,
"MyVoteSys <α=0.80, β=0.33, γ=____, First>",1.164,0.864,0.0,
"MyVoteSys <α=0.66, β=0.33, γ=0.80, MaxEntropy>",1.164,0.864,0.0,
"MyVoteSys <α=0.66, β=____, γ=0.80, Last>",1.164,0.864,0.0,
"MyVoteSys <α=0.80, β=____, γ=____, First>",1.164,0.864,0.0,
"MyVoteSys <α=0.50, β=____, γ=0.80, MaxEntropy>",1.164,0.864,0.0,
"MyVoteSys <α=0.66, β=____, γ=0.80, MinVariance>",1.164,0.864,0.0,
"MyVoteSys <α=0.50, β=____, γ=0.80, Last>",1.164,0.864,0.0,
"MyVoteSys <α=0.66, β=0.33, γ=0.80, Last>",1.164,0.864,0.0,
"MyVoteSys <α=0.80, β=0.33, γ=____, MaxVariance>",1.1666666666666667,0.8626666666666667,0.0,
bestVoter (Dictatorship),1.3173333333333332,0.78,0.0,1486.6348876953125
"MyVoteSys <α=0.80, β=0.33, γ=____, MinVariance>",1.532,0.6466666666666666,0.0,
"MyVoteSys <α=0.66, β=0.33, γ=____, MinVariance>",1.532,0.6466666666666666,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=____, MinVariance>",1.532,0.6466666666666666,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=____, Last>",1.6733333333333333,0.604,0.0,
"MyVoteSys <α=0.80, β=0.33, γ=____, Last>",1.6733333333333333,0.604,0.0,
"MyVoteSys <α=0.66, β=0.33, γ=____, MaxEntropy>",1.6733333333333333,0.604,0.0,
"MyVoteSys <α=0.66, β=0.33, γ=____, Last>",1.6733333333333333,0.604,0.0,
"MyVoteSys <α=0.80, β=0.33, γ=____, MaxEntropy>",1.6733333333333333,0.604,0.0,
"MyVoteSys <α=0.50, β=0.33, γ=____, MaxEntropy>",1.6733333333333333,0.604,0.0,
"MyVoteSys <α=0.80, β=____, γ=____, MinVariance>",1.716,0.576,0.0013333333333333333,
"MyVoteSys <α=0.50, β=____, γ=____, MinVariance>",1.716,0.576,0.0013333333333333333,
"MyVoteSys <α=0.66, β=____, γ=____, MinVariance>",1.716,0.576,0.0013333333333333333,
"MyVoteSys <α=0.50, β=____, γ=____, MaxVariance>",1.9253333333333333,0.58,0.004,
"MyVoteSys <α=0.66, β=____, γ=____, MaxVariance>",2.1226666666666665,0.49466666666666664,0.004,
"MyVoteSys <α=0.80, β=____, γ=____, MaxVariance>",2.2173333333333334,0.448,0.004,
"MyVoteSys <α=0.80, β=____, γ=____, MaxEntropy>",2.2746666666666666,0.4226666666666667,0.004,
